batch_size,dropout,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
128,0.2,100,0.0005,sgd,100,0.6546,0.3419,0.4017,0.9383
32,0.2,100,0.0001,sgd,100,0.6379,0.3398,0.3899,0.9754
128,0.4,100,0.0001,adam,100,0.6602,0.3386,0.4053,0.9675
64,0.4,100,0.001,sgd,100,0.6574,0.3355,0.4015,0.9077
32,0.3,50,0.0005,sgd,50,0.6602,0.3319,0.4037,0.9228
64,0.1,150,0.0001,sgd,150,0.6267,0.3297,0.3821,0.9728
32,0.4,50,0.001,sgd,50,0.663,0.3291,0.3998,0.9026
128,0.4,100,0.0001,rmsprop,100,0.6574,0.329,0.3985,0.9707
64,0.2,150,0.0001,sgd,150,0.6212,0.3112,0.3641,1.0114
128,0.1,50,0.0005,sgd,50,0.6184,0.307,0.3607,1.0001
32,0.4,50,0.0001,rmsprop,50,0.649,0.2978,0.3817,0.9584
64,0.4,150,0.0005,sgd,150,0.6462,0.2917,0.3808,0.9411
64,0.4,50,0.0001,adam,50,0.6407,0.2912,0.3735,0.9854
32,0.3,100,0.0001,sgd,100,0.6156,0.2892,0.3505,1.0218
128,0.4,150,0.001,sgd,150,0.6351,0.289,0.3764,0.9397
128,0.3,150,0.0005,sgd,150,0.6462,0.2861,0.3787,0.9494
128,0.4,100,0.001,sgd,100,0.6435,0.2845,0.3776,0.98
32,0.4,50,0.0005,sgd,50,0.6435,0.2838,0.3753,0.9836
64,0.4,50,0.001,sgd,50,0.6435,0.2837,0.3753,0.9807
128,0.4,150,0.0005,sgd,150,0.6435,0.2837,0.3753,1.0042
64,0.4,100,0.0005,sgd,100,0.6435,0.2836,0.3753,0.9853
32,0.3,150,0.0001,sgd,150,0.6407,0.2825,0.3719,0.9801
128,0.3,50,0.0001,adam,50,0.6379,0.2812,0.3685,0.9611
128,0.3,50,0.0001,rmsprop,50,0.6379,0.281,0.3685,0.9627
64,0.4,50,0.0001,rmsprop,50,0.6379,0.2809,0.3685,0.989
128,0.3,100,0.0005,sgd,100,0.6351,0.2786,0.3651,0.991
128,0.3,50,0.001,sgd,50,0.6323,0.2767,0.3617,0.9918
64,0.3,50,0.0005,sgd,50,0.6295,0.2748,0.3583,0.9973
32,0.4,150,0.0001,sgd,150,0.6267,0.2731,0.3549,1.0336
128,0.4,50,0.001,sgd,50,0.624,0.2723,0.3515,1.0482
128,0.4,100,0.0005,sgd,100,0.624,0.2716,0.3515,1.0531
128,0.2,50,0.0005,sgd,50,0.5822,0.2712,0.3068,1.0365
128,0.4,50,0.0001,rmsprop,50,0.6212,0.271,0.3459,1.0162
128,0.4,50,0.0001,adam,50,0.6128,0.265,0.3357,1.0189
64,0.4,50,0.0005,sgd,50,0.6072,0.2615,0.3289,1.0551
64,0.1,100,0.0001,sgd,100,0.5515,0.2484,0.2793,1.0452
32,0.1,50,0.0001,sgd,50,0.532,0.2231,0.2556,1.047
64,0.3,150,0.0001,sgd,150,0.5348,0.2088,0.243,1.0637
64,0.2,100,0.0001,sgd,100,0.5097,0.1588,0.2125,1.0841
32,0.2,50,0.0001,sgd,50,0.5097,0.1583,0.2125,1.0854
128,0.1,150,0.0001,sgd,150,0.507,0.1358,0.2,1.1019
128,0.3,50,0.0005,sgd,50,0.507,0.1351,0.2,1.0935
32,0.4,100,0.0001,sgd,100,0.507,0.1348,0.2,1.0917
128,0.2,150,0.0001,sgd,150,0.507,0.1348,0.2,1.1427
32,0.3,50,0.0001,sgd,50,0.507,0.1346,0.2,1.1428
32,0.4,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2297
64,0.1,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2012
64,0.2,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2356
64,0.3,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2834
64,0.3,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1443
64,0.4,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3387
64,0.4,100,0.0001,sgd,100,0.507,0.1346,0.2,1.2306
64,0.4,150,0.0001,sgd,150,0.507,0.1346,0.2,1.1495
128,0.1,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3441
128,0.1,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1967
128,0.2,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3646
128,0.2,100,0.0001,sgd,100,0.507,0.1346,0.2,1.2324
128,0.3,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3879
128,0.3,100,0.0001,sgd,100,0.507,0.1346,0.2,1.28
128,0.3,150,0.0001,sgd,150,0.507,0.1346,0.2,1.2011
128,0.4,50,0.0001,sgd,50,0.507,0.1346,0.2,1.4148
128,0.4,50,0.0005,sgd,50,0.507,0.1346,0.2,1.1812
128,0.4,100,0.0001,sgd,100,0.507,0.1346,0.2,1.3386
128,0.4,150,0.0001,sgd,150,0.507,0.1346,0.2,1.2794
